0,Nocny kochanek
1,Shakira
2,Luxtorpeda
3,Ed Sheeran
4,Metallica
5,Dawid Podsiadlo
6,C Bool
7,Imagine Dragons
8,Tymek
9,Cleo
10,Little Big
